text,num_pairs,kappa_mean,kappa_std,kappa_min,kappa_max
A,36,-0.29755126611837496,0.2143351585171872,-0.6719672875965472,0.0
B,36,-0.29937235564718734,0.19579252830152638,-0.6709534368070955,-0.02245388933440262
C,36,-0.32956222681717096,0.18646339381692434,-0.5995702005730659,0.0
